status,style,street,city,zip_code,beds,full_baths,half_baths,sqft,year_built,list_price,sold_price,price_per_sqft,latitude,longitude,county,house_age,style_CONDO,style_CONDOS,style_COOP,style_LAND,style_MOBILE,style_MULTI_FAMILY,style_OTHER,style_SINGLE_FAMILY,style_TOWNHOMES,total_baths,beds_times_sqft,total_baths_times_sqft
SOLD,SINGLE_FAMILY,939 E 87th St,Brooklyn,11236,3.0,2.0,1.0,1224.0,1920.0,594900.0,555000,453.0,40.638211,-73.90712,Kings,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.5,3672.0,3060.0
SOLD,SINGLE_FAMILY,40  Chesebrough St,Staten Island,10312,2.0,1.0,1.0,2176.0,1992.0,529888.0,535000,246.0,40.545886,-74.168039,Richmond,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5,4352.0,3264.0
SOLD,MULTI_FAMILY,217  Lexington Ave,Brooklyn,11216,4.0,3.0,1.0,2100.0,1930.0,2200000.0,2225000,1060.0,40.687602,-73.953604,Kings,94.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.5,8400.0,7350.0
SOLD,CONDOS,170 E End Ave,New York,10128,1.0,1.0,0.0,1010.0,2008.0,1345000.0,1265000,1252.0,40.77602,-73.944267,New York,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1010.0,1010.0
SOLD,SINGLE_FAMILY,227  College Ave,Staten Island,10314,4.0,1.0,1.0,2100.0,1913.0,999999.0,950000,452.0,40.621511,-74.128086,Richmond,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5,8400.0,3150.0
SOLD,TOWNHOMES,16  Francine Ln,Staten Island,10314,3.0,2.0,0.0,2016.0,1989.0,637980.0,613000,304.0,40.613827,-74.146843,Richmond,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6048.0,4032.0
SOLD,SINGLE_FAMILY,104-02  223rd St,Queens Village,11429,4.0,3.0,0.0,1746.0,1930.0,887000.0,845000,484.0,40.710773,-73.732108,Queens,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,6984.0,5238.0
SOLD,CONDOS,300 E 55th St,New York,10022,1.0,1.0,0.0,1121.0,2003.0,1475000.0,1425000,1271.0,40.757657,-73.966068,New York,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1121.0,1121.0
SOLD,SINGLE_FAMILY,83  Tysens Ln,Staten Island,10306,3.0,1.0,1.0,1360.0,1965.0,699000.0,650000,478.0,40.572321,-74.129517,Richmond,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5,4080.0,2040.0
SOLD,MULTI_FAMILY,106-42  Union Hall St,Jamaica,11433,5.0,3.0,0.0,2915.0,1994.0,789777.0,810000,278.0,40.698131,-73.794006,Queens,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,14575.0,8745.0
SOLD,SINGLE_FAMILY,17-11  201st St,Bayside,11360,3.0,1.0,0.0,1200.0,1910.0,958000.0,965000,804.0,40.78208,-73.792086,Queens,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3600.0,1200.0
SOLD,COOP,167-05  12th Ave,Beechhurst,11357,3.0,1.0,0.0,1381.5,1954.0,365000.0,355000,256.9670647846544,40.791789,-73.796724,Queens,70.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4144.5,1381.5
SOLD,SINGLE_FAMILY,194  Robinson Ave,Staten Island,10312,3.0,1.0,0.0,1230.0,1960.0,675000.0,665000,541.0,40.538715,-74.153114,Richmond,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3690.0,1230.0
SOLD,SINGLE_FAMILY,476  Robinson Ave,Staten Island,10312,3.0,1.0,1.0,1600.0,2001.0,728000.0,685000,428.0,40.544887,-74.159208,Richmond,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5,4800.0,2400.0
SOLD,SINGLE_FAMILY,132  Hagaman Pl,Staten Island,10302,3.0,2.0,0.0,1430.0,1935.0,649000.0,665000,465.0,40.626351,-74.140703,Richmond,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4290.0,2860.0
